Date	Device Name	Description	Novel	Author	Built?	By Whom?	Product	First Year Made	Additional Details	Bits or Atoms?	Companies Working on This	Link to Doc With Technical Details	Requires Changes to Laws of Physics
	1867	Gourmet Space Cuisine	The finest in French cuisine, in outer space.	From the Earth to the Moon	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
	1867	Water-Springs	Using water to cushion the living space of a spacecraft from the effects of acceleration.	From the Earth to the Moon	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
	1868	Steam Man	A mechanical robot powered by steam.	The Steam Man of the Prairies	Edward S. Ellis	No	N/A	N/A	N/A	Fictional	Atoms			
	1868	Burn the Ship	Utilize parts of the ship as fuel for forward movement.	Around the World in 80 days	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
	1869	Brick Moon	An artificial satellite or space station with living quarters for passengers.	The Brick Moon	Edward Everett Hale	No	N/A	N/A	N/A	Fictional	Atoms			
	1869	Flywheel Launcher	Gigantic flywheels that build up enough power to launch a spacecraft - hurl it into the heavens!	The Brick Moon	Edward Everett Hale	No	N/A	N/A	N/A	Fictional	Atoms			
	1871	Fossil Shell Coin	The use of rare natural shells of an extinct species, for money.	The Coming Race	Edward Bulwer-Lytton	Yes	Various Ancient Civilizations	N/A	N/A	https://en.wikipedia.org/wiki/Shell_money	Atoms			
	1846	Forced Scholars	Hothouse intellectuals.	Le Monde Tel Qu'il Sera (The World As It Shall Be)	Emile Souvestre	No	N/A	N/A	N/A	Fictional	Bits			
	1872	Mechanical Consciousness	The notion that machines may develop a form of consciousness.	Erewhon	Samuel Butler	No	N/A	N/A	N/A	Fictional idea	Bits			
	1875	Undersea Mining	Conducting mining operations on the sea floor.	20,000 Leagues Under the Sea	Jules Verne	Yes	Various	Undersea mining	1960s	Early efforts in the 1960s	Atoms			
	1875	Diving Apparatus	Equipment used to go for walks on the sea bed; the direct ancestor of modern scuba diving equipment.	20,000 Leagues Under the Sea	Jules Verne	Yes	Various	Scuba gear	1943	First scuba gear patented by Jacques Cousteau	Atoms			
	1875	Leyden Ball	Device for hunting underwater; transfers a powerful electrical charge to the prey.	20,000 Leagues Under the Sea	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
	1875	Nautilus	The wondrous submarine of Captain Nemo; the instrument of his escape from humanity and his revenge upon it.	20,000 Leagues Under the Sea	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
	1875	Electrify the Rail	Use of substantial electrical charge applied to outer hull to repel potential boarders.	20,000 Leagues Under the Sea	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
	1877	Telepomp (Matter Transmission)	A device that transmitted matter from one place to another.	The Man Without a Body	Edward Page Mitchell	No	N/A	N/A	N/A	Fictional	Atoms			
	1879	Home News Printer	A device that prints out the newspaper of your choice right in your own home.	The Senator's Daughter	Edward Page Mitchell	Yes	HP, Canon	Home printers	1970s	N/A	Bits			
	1879	Compact Food Pastilles	One small tablet is a month's worth of food.	The Senator's Daughter	Edward Page Mitchell	No	N/A	N/A	N/A	Fictional	Atoms			
	1879	Suspended Animation (Frigorific Process)	Very early reference to cryogenic storage.	The Senator's Daughter	Edward Page Mitchell	No	N/A	N/A	N/A	Fictional	Atoms			
	1880	Apergy (Apergion)	An antigravity substance with sufficient power to propel a space ship from the Earth to Mars.	Across the Zodiac	Percy Greg	No	N/A	N/A	N/A	Fictional	Atoms			
	1880	Astronaut (Ship)	The first instance of this phrase, it denotes a space-going vessel.	Across the Zodiac	Percy Greg	No	N/A	N/A	N/A	New term for spacecraft	Atoms			
	1881	Chemical Production of Food	Creation of food in the laboratory rather than in the field.	Mizora: A Prophecy	Mary E. Bradley Lane	Yes	Various	Lab-grown food	2000s	Early efforts in 2000s	Atoms			
	1881	Dutch Clock (Time Machine)	A tall Dutch clock with hands that move... backward.	The Clock That Went Backward	Edward Page Mitchell	No	N/A	N/A	N/A	Fictional	Atoms			
	1883	Telephonoscope	A device that effectively transmits pictures and sound over long distances.	Le Vingtième Siècle (The Twentieth Century)	Albert Robida	Yes	Various	Video calling	1930s	Early video calling efforts in 1930s	Atoms			
	1886	Ether Ship	A space-going ship.	Aleriel or A Voyage to Other Worlds	W.S. Lach-Szyrma	No	N/A	N/A	N/A	Fictional term for spacecraft	Atoms			
	1887	Anacronopete (Time Machine)	A flying electric-powered time machine.	El Anacronopete	Enrique Gaspar	No	N/A	N/A	N/A	Fictional	Atoms			
	1888	Telephonic Music Room	Places where a person could go, at any time, to share in musical performances happening at some distance away.	Looking Backward	Edward Bellamy	Yes	Spotify, Apple Music	Music streaming	2000s	N/A	Bits			
	1888	Credit Card	A simple card that is used in place of money	Looking Backward	Edward Bellamy	Yes	Visa, Mastercard	Credit cards	1950s	N/A	Atoms			
	1888	Mall (Great City Bazaar)	An aggregation of shops under one roof.	Looking Backward	Edward Bellamy	Yes	Westfield, Simon Property	Shopping malls	1950s	N/A	Atoms			
	1889	Atmospheric Advertising	A means of mass advertising to cities and countries.	In the Year 2889	Jules Verne	Yes	Various	Skyvertising, Drones	2020s	N/A	Atoms			
	1889	Phonotelephote	A means of transmitting and receiving both voice and picture for a personal conversation.	In the Year 2889	Jules Verne	Yes	Zoom, Skype	Video calling	2010s	N/A	Bits			
	1889	Recorded News	This is the basic idea behind Tivo and VCRs.	In the Year 2889	Jules Verne	Yes	TiVo, DVRs	Digital video recorders	1990s	N/A	Bits			
	1889	Live News	The modern concept of a news broadcast.	In the Year 2889	Jules Verne	Yes	CNN, BBC	24-hour live news	1980s	N/A	Bits			
	1889	Electrified Fence	A wire fence carrying an electrical charge sufficient to deter crossing the boundary.	A Connecticut Yankee in King Arthur's Court	Mark Twain	Yes	Various	Electric fences	1930s	N/A	Atoms			
	1889	Straightening the Earth's Poles	By means of a suitable force, push the Earth until the planet's axis of rotation is perpendicular to the ecliptic.	The Purchase of the North Pole (Topsy Turvy)	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
	1893	Air-Ship (VTOL Airship)	A flying machine capable of vertical take-off and landing.	The Angel of the Revolution	George Griffith	Yes	Bell, Boeing	VTOL aircraft	1950s	N/A	Atoms			
	1893	Air-to-Surface Missile	Very early description of a projectile fired from an airship into a surface target.	The Angel of the Revolution	George Griffith	Yes	Various militaries	Guided missiles	1940s	N/A	Atoms			
	1893	War-Balloon (Navigable Aerostat)	Enormous dirigible airships used for war.	The Angel of the Revolution	George Griffith	No	N/A	N/A	N/A	Fictional	Atoms			
	1894	Vehicle Energy Reclamation	Reclaiming the energy gained by climbing a hill on the way back down.	A Journey In Other Worlds	John Jacob Astor IV	Yes	Various automakers	Regenerative braking	1990s	N/A	Atoms			
	1894	Magnetic Eyes	A device that permits remote monitoring of people or other objects.	A Journey In Other Worlds	John Jacob Astor IV	Yes	Axis Communications	Security cameras	1990s	N/A	Atoms			
	1894	Magnetic Railroads	A scheme for powering railroads using enormous electromagnets.	A Journey In Other Worlds	John Jacob Astor IV	Yes	Various	Maglev trains	1980s	N/A	Atoms			
	1894	Rooftop Windmill	Renewable energy source for the home.	A Journey In Other Worlds	John Jacob Astor IV	Yes	Various companies	Rooftop wind turbines	1970s	N/A	Atoms			
	1894	Marine Spider (Hydrofoil)	A very early mention of the hydrofoil concept.	A Journey In Other Worlds	John Jacob Astor IV	Yes	Boeing	Hydrofoils	1960s	N/A	Atoms			
	1894	Instantaneous Kodaks (Traffic Control)	Use of cameras to help police officers enforce speed limits.	A Journey In Other Worlds	John Jacob Astor IV	Yes	Various	Speed cameras	1960s	N/A	Atoms			
	1894	Double-Door Vestibule	A special doorway leading from the interior of a spacecraft leading out into space which maintains the air pressure within the craft.	A Journey In Other Worlds	John Jacob Astor IV	Yes	NASA	Airlocks	1960s	On spacecraft	Atoms			
	1894	Space-ship	A space-going vessel.	A Journey In Other Worlds	John Jacob Astor IV	Yes	NASA, SpaceX	Spacecraft	1950s	N/A	Atoms			
	1894	Electric Phaetons (Electric Cars)	Vehicles whose motive power is entirely derived from electricity.	A Journey In Other Worlds	John Jacob Astor IV	Yes	Tesla, Nissan	Electric cars	1890s	First viable electric cars in 1890s	Atoms			
	1894	Aeriduct (Rain Maker)	A specific means of producing rain.	A Journey In Other Worlds	John Jacob Astor IV	No	N/A	N/A	N/A	Fictional	Atoms			
	1894	Arctic Signal Light	A means of communicating with spacecraft from the surface of the Earth.	A Journey In Other Worlds	John Jacob Astor IV	No	N/A	N/A	N/A	N/A	Atoms			
	1895	Manufactured Wife	A wife made to order, programmed to meet her husband's requirements.	A Wife Manufactured to Order	Alice W. Fuller	Yes	Various	Sexbots, AI Chat GF/Wife	2010s	N/A	Both			
	1895	Atomic Microscopy	A device that can actually visualize a individual molecule and its parts.	The Crack of Doom	Robert Cromie	Yes	IBM	Scanning tunneling microscope	1981	N/A	Atoms			
	1895	Atomic Energy	Splitting the atom to create a destructive force.	The Crack of Doom	Robert Cromie	Yes	Various	Nuclear fission	1939	N/A	Atoms			
	1895	Time Machine	A device allowing the rider to move freely in the temporal dimension, just as we ordinarily do in the two physical dimensions normal to gravity.	The Time Machine	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1895	Undersea City	A great city under the sea, covered by a crystal dome.	The Crystal City Under the Sea	Andre Laurie	No	N/A	N/A	N/A	N/A	Atoms			
	1895	Government Lethal Chamber	A legal suicide booth.	The Repairer of Reputations	Robert W. Chambers	No	N/A	N/A	N/A	N/A	Atoms			
	1895	Submarine Tube	A means of transport between Europe and North America via underwater tubes.	An Express of the Future	Michel Verne	No	N/A	N/A	N/A	N/A	Atoms			
	1896	Fulgurator	An 'autopropulsive projectile'.	Facing The Flag	Jules Verne	No	N/A	N/A	N/A	N/A	Atoms			
	1896	Monsters Manufactured	Dr. Moreau demonstrates the plasticity of the organic form.	The Island of Dr. Moreau	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Artificial Silk	A fabric like silk produced entirely without silkworms.	In the Deep of Time	George Parsons Lathrop	Yes	DuPont	Nylon	1930s	N/A	Atoms	Spiber		
	1897	Electric Bicycle	A two-wheeled device utilizing stored electricity as motive power.	In the Deep of Time	George Parsons Lathrop	Yes	Various	Electric bicycles	1890s	N/A	Atoms			
	1897	Electric Gun (Mass Driver)	A device that used electromagnetic energy to accelerated capsules into orbit.	A Trip to Venus	John Munro	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Gravitational Wave Viewer	A device used to see at astronomical distances.	Two Planets	Kurd Lasswitz	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Walking Balloon	A means of efficiently traversing rough country.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Magnetic Shell	A munition that is powerfully attracted to ferrous ships.	The Great Stone of Sardis	Frank Stockton	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Life-Brew	A non-alcoholic beverage, but similar to wine.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Vivification	A process by which the body can be preserved for centuries at body temperature and then revived.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Automatic Shell	A projectile that bores through obstacles - even the Earth!	The Great Stone of Sardis	Frank Stockton	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Photic Borer (Artesian Ray)	A ray of energy that illuminates a cross-section of Earth as it goes through solid earth and rock.	The Great Stone of Sardis	Frank Stockton	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Glow-Worm Living	Alternated work, play and slumber without long periods of sleep.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Helium Metal	An ore with the spectroscopic line of Helium.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Sun-Telephone	Receives transmissions from the sun itself.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Invisibility	The idea that it is possible to make a person invisible using some sort of optical technology to alter the body.	The Invisible Man	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Interstellar Express Car	Uses anti-gravitation metal to achieve terrific speeds in space.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	Atoms			
	1897	Home Planet	Usually the birthplace of your species or simply your planet of origin.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	N/A			
	1897	Planetary Telegraphing	A method for communicating with dwellers on other planets in the solar system.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	Bits			
	1897	Noninterference With Other Worlds	Earliest expression of the 'Prime Directive' idea.	In the Deep of Time	George Parsons Lathrop	No	N/A	N/A	N/A	N/A	Bits			
	1898	Autonomous Digging Machine	A mechanical device able to excavate on its own.	The War of the Worlds	H.G. Wells	Yes	Caterpillar, Komatsu	Autonomous construction vehicles	2010s	N/A	Atoms			
	1898	Heat Ray	First use of what appears to be a laser weapon.	The War of the Worlds	H.G. Wells	Yes	Various	Laser weapons	1960s	N/A	Atoms			
	1898	Air-Tight Suit	An special outfit that would allow a person to survive in vacuum.	Edison's Conquest of Mars	Garrett P. Serviss	Yes	NASA, SpaceX	Spacesuits	1960s	N/A	Atoms			
	1898	Biological Warfare	The use of microorganisms to defeat an enemy; this is the first reference in science fiction that I can find to this concept.	The War of the Worlds	H.G. Wells	Yes	Various militaries	Biological weapons	1900s	N/A	Atoms			
	1898	Space Walk	Going outside your space craft for a short time.	Edison's Conquest of Mars	Garrett P. Serviss	Yes	NASA, Roscosmos	Extravehicular activity	1965	N/A	Atoms			
	1898	Disintegrator	A device that causes objects to burst into molecular pieces.	Edison's Conquest of Mars	Garrett P. Serviss	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Electrical 'Tether'	A device to make sure an astronaut could return from a free space walk.	Edison's Conquest of Mars	Garrett P. Serviss	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Quasi-Muscles (Sham Musculature)	A means of giving motive power to robots or machines that is similar to animal musculature.	The War of the Worlds	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Red Weed (Terraforming Plant)	A plant brought by the Martians that grew on Earth.	The War of the Worlds	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Black Smoke	A smoke or vapor dispensed in canisters.	The War of the Worlds	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Tripod	An enormous metallic robot.	The War of the Worlds	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Aerial Telegraph	Communication between individuals in spacesuits.	Edison's Conquest of Mars	Garrett P. Serviss	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Robot Biomimicry	Endowing robots with an organic-appearing fluidity, rather than mechanical motion.	The War of the Worlds	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Steel Tentacle	Flexible robotic steel limbs that can both support a vehicle and grasp objects.	The War of the Worlds	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Robot Spider (Handling Machine)	Multipurpose device used almost as an extension of the Martian's own bodies.	The War of the Worlds	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1898	Asteroid Mining	The mining of asteroid ore, accomplished by traveling to these tiny bodies.	Edison's Conquest of Mars	Garrett P. Serviss	No	N/A	N/A	N/A	N/A	Atoms			
	1899	Town In One Building	This is the basic idea behind an arcology, or other single structure that is intended to provide living space and mall.	When the Sleeper Wakes	H.G. Wells	Yes	NEOM	NEOM	2020s	N/A	Atoms			
	1899	Kinetiscope Appliance	A small object that could show a variety of artificially created or extrapolated images.	When the Sleeper Wakes	H.G. Wells	Yes	Sony, Microsoft	Augmented reality	2010s	N/A	Atoms			
	1899	Automated Surface Measurement	A mechanical method of accurately measuring a surface.	When the Sleeper Wakes	H.G. Wells	Yes	FARO Technologies	3D scanning	1970s	N/A	Atoms			
	1899	Automatic Door	A wall strip that rolls up automatically to let you through.	When the Sleeper Wakes	H.G. Wells	Yes	Stanley Access Technologies	Automatic doors	1960s	N/A	Atoms			
	1899	Moving Roadway	A roadway that is in motion, with seats and kiosks, that goes around curves.	When the Sleeper Wakes	H.G. Wells	Yes	Various airports	Moving walkways	1950s	N/A	Atoms			
	1899	Aerial Dynamite Ships	Using airplanes to drop explosives during war.	Looking Forward: A Dream of the United States of the Americas in 1999	Arthur Bird	Yes	Various militaries	Bombers	1910s	N/A	Atoms			
	1899	Electrical Farming Implements	Labor-saving automatic farm equipment.	Looking Forward: A Dream of the United States of the Americas in 1999	Arthur Bird	Yes	John Deere, CNH Industrial	Agricultural machinery	1900s	N/A	Atoms			
	1899	Electric-Automatic Housemaid Robot (Automaton)	A very early description of a robot to help around the house.	Ely's Automatic Housemaid	Elizabeth Bellamy	Yes	iRobot	Home cleaning robots	2002	N/A	Atoms			
	1899	Moving Picture Player	A machine that plays recorded pictures back for a single person - a combination DVD player and screen.	When the Sleeper Wakes	H.G. Wells	Yes	Sony, LG	DVD players	1996	N/A	Atoms			
	1899	DVD/VCR (Entertainment Player)	A device that accepts stored moving picture entertainment and makes it available for viewing.	When the Sleeper Wakes	H.G. Wells	Yes	Sony, LG	DVD/Blu-ray players	1996	N/A	Atoms			
	1899	Networked World	Very early description of our dependence on technology and communication.	When the Sleeper Wakes	H.G. Wells	Yes	Internet pioneers	The Internet	1969	N/A	Both			
	1899	Babble Machine	Not just television - this describes what we call 'the idiot box' (technology and media).	When the Sleeper Wakes	H.G. Wells	Yes	Sony, Samsung	Televisions	1927	N/A	Atoms			
	1899	Individualized Clothing Manufacture	A device that will produce suits of clothing based on measurement data gathered.	When the Sleeper Wakes	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1899	Electric-Automatic Household Robot Cook	A robot chef - an Electric-Automatic Household Benefi­cent Genius!	Ely's Automatic Housemaid	Elizabeth Bellamy	No	N/A	N/A	N/A	N/A	Atoms			
	1899	Automatic Valet	A robotic manservant.	Looking Forward: A Dream of the United States of the Americas in 1999	Arthur Bird	No	N/A	N/A	N/A	N/A	Atoms			
	1899	Aerocycle (Ærocycle)	An aerial bicycle, human powered.	Looking Forward: A Dream of the United States of the Americas in 1999	Arthur Bird	No	N/A	N/A	N/A	N/A	Atoms			
	1899	Nickalum	An alloy of aluminum crystalized within a magnetic field for exceptional strength.	Looking Forward: A Dream of the United States of the Americas in 1999	Arthur Bird	No	N/A	N/A	N/A	N/A	Atoms			
	1899	Nutritious Pellets	Food in pill form.	Looking Forward: A Dream of the United States of the Americas in 1999	Arthur Bird	No	N/A	N/A	N/A	N/A	Atoms			
	1899	Eadhamite	Synthetic material that creates extremely smooth roads.	When the Sleeper Wakes	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1899	Aerodrome (Ærodromes)	Flying machines.	Looking Forward: A Dream of the United States of the Americas in 1999	Arthur Bird	Yes	Boeing, Airbus	Airplanes	1903	N/A	Atoms			
	1900	Aerocar	A personal flying vehicle.	The Abduction of Alexandra Seine	Fred C. Smale	No	N/A	N/A	N/A	N/A	Atoms			
	1901	Translatophone	A device that performs mechanical translation of one language into another.	My Translatophone	Frank Stockton	Yes	Google	Google Translate	2006	N/A	Atoms			
	1901	Breathing Dresses	A special suit and apparatus for survival on the surface of the Moon.	A Honeymoon In Space	George Griffith	No	N/A	N/A	N/A	N/A	Atoms			
	1901	Cavorite	An antigravity metal; when it cools, whatever it covers will be impervious to gravitational forces.	The First Men in the Moon	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1901	Homeworld (Home-World)	One's planet of origin.	A Honeymoon In Space	George Griffith	No	N/A	N/A	N/A	N/A	Atoms			
	1903	Joystick Controls w/Remote Display	A fire-by-wire remote-controlled weapon system.	The Land Ironclads	H.G. Wells	Yes	Various militaries	Remote weapon systems	1940s	N/A	Atoms			
	1903	Aerial Navies	Use of vast numbers of air-ships (planes) to overwhelm land defenses.	The World Masters	George Griffith	Yes	Various air forces	Air forces	1910s	N/A	Atoms			
	1903	Death-Ray	A thin ray of electric light that melts flesh away from the bone.	The World Masters	George Griffith	No	N/A	N/A	N/A	N/A	Atoms			
	1903	Vandelite Gun	An artillery device that freezes the explosive material for firing so it doesn't explode in the gun when it fires.	The World Masters	George Griffith	No	N/A	N/A	N/A	N/A	Atoms			
	1904	The Terror	An amazing vehicle capable of attaining tremendous speeds - in many different ways.	Master of the World	Jules Verne	No	N/A	N/A	N/A	N/A	Atoms			
	1905	Glass Dome	Protective cover for cities.	A Modern Utopia	H.G. Wells	No	N/A	N/A	N/A	N/A	Atoms			
	1907	Tik-Tok	A mechanical man.	Ozma of Oz	L. Frank Baum	No	N/A	N/A	N/A	N/A	Atoms			
	1907	Interplanetary Radiograph Station	Network of communication in the solar system.	On The Martian Way	Harry Gore Bishop	No	N/A	N/A	N/A	N/A	Atoms			
	1907	Gravitation Screen	Shields a spacecraft from the gravity of a planetary body.	On The Martian Way	Harry Gore Bishop	No	N/A	N/A	N/A	N/A	Atoms			
	1907	Neutral (Point)	The point at which the gravitational pull of the sun and that of a planet cancel each other out.	On The Martian Way	Harry Gore Bishop	No	N/A	N/A	N/A	N/A	Atoms			
	1908	Minus-Matter	Material that negates weight.	Red Star	Aleksandr Bogdanov	No	N/A	N/A	N/A	N/A	Atoms			
	1908	Etheroneph	Spacefraft fueled by radioactive materials.	Red Star	Aleksandr Bogdanov	No	N/A	N/A	N/A	N/A	Atoms			
	1909	Cinematophote (Blue Optic Plate)	The first reference to a tablet-sized, handheld screen.	The Machine Stops	E.M. Forster	Yes	Apple, Samsung	Tablet computers	2010s	N/A	Atoms			
	1909	Video Communicator	A device that carried both voice and image, letting the two parties see each other.	The Machine Stops	E.M. Forster	Yes	Zoom, FaceTime	Video calling apps	2010s	N/A	Atoms			
	1909	Telemedicine Apparatus	First reference to a device that allows physicians to examine or aid patients at a distance.	The Machine Stops	E.M. Forster	Yes	Various telehealth companies	Telemedicine	1960s	N/A	Atoms			
	1909	The Machine	A single vast contrivance that supplied all the needs of the world's millions of solitary inhabitants.	The Machine Stops	E.M. Forster	No	N/A	N/A	N/A	N/A	Atoms			
	1909	Breed Humans For Machines	Carefully cull the strong, resilient humans in favor of weakness, that the human race might be more adapted to life in the Machine.	The Machine Stops	E.M. Forster	No	N/A	N/A	N/A	N/A	Atoms			
